Unnamed: 0,Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,brand_name,Mileage_upd,Engine_upd,Power_upd,Year_upd
19,Bangalore,78500,Diesel,Automatic,First,5.0,,28.0,Mercedes-Benz,14.84,2143.0,167.62,5
20,Kochi,32982,Diesel,Automatic,First,5.0,47.87 Lakh,18.55,BMW,22.69,1995.0,190.0,5
21,Bangalore,55392,Diesel,Manual,Second,5.0,,8.25,Maruti,23.65,1248.0,88.5,4
22,Mumbai,55985,Petrol,Automatic,First,5.0,,23.5,Audi,13.53,1984.0,177.01,4
23,Kolkata,45807,Petrol,Manual,First,5.0,,1.87,Hyundai,18.5,1197.0,80.0,9
24,Kolkata,33000,Petrol,Automatic,First,5.0,,2.85,Volkswagen,14.4,1598.0,103.6,9
25,Mumbai,51920,Petrol,Manual,First,5.0,,4.25,Honda,16.8,1497.0,116.3,7
26,Hyderabad,54000,Diesel,Manual,First,5.0,,4.25,Nissan,23.08,1461.0,63.1,7
27,Hyderabad,54000,Petrol,Manual,Second,5.0,,2.75,Maruti,20.92,998.0,67.1,6
28,Kochi,37430,Petrol,Manual,First,5.0,10.57 Lakh,9.9,Honda,17.5,1199.0,88.7,1
29,Mumbai,262000,Diesel,Manual,Fourth & Above,7.0,,4.0,Toyota,12.8,2494.0,102.0,12
30,Bangalore,62000,Diesel,Manual,First,5.0,,7.75,Renault,19.01,1461.0,108.45,6
31,Delhi,87615,Petrol,Manual,First,5.0,,6.75,Toyota,14.53,1798.0,138.1,7
32,Bangalore,72000,Diesel,Automatic,Second,7.0,,12.5,Mahindra,11.18,2696.0,184.0,6
33,Kolkata,35000,Diesel,Automatic,First,5.0,,11.5,Audi,12.4,2698.0,179.5,9
34,Coimbatore,55431,Petrol,Manual,Second,5.0,12.33 Lakh,6.98,Volkswagen,16.09,1598.0,103.5,5
35,Jaipur,83816,Petrol,Manual,Second,5.0,,1.85,Maruti,14.0,1061.0,64.0,10
36,Kochi,50075,Diesel,Manual,First,5.0,11.12 Lakh,8.63,Maruti,24.3,1248.0,88.5,1
37,Delhi,52000,Petrol,Manual,First,5.0,,4.85,Mahindra,18.15,1198.0,82.0,2
38,Pune,85000,Diesel,Automatic,First,5.0,,28.0,Mercedes-Benz,11.74,2987.0,254.8,6
39,Chennai,62000,Diesel,Manual,First,5.0,,5.0,Volkswagen,22.07,1199.0,73.9,6
40,Delhi,90000,Petrol,Manual,Second,5.0,,1.25,Maruti,19.7,796.0,46.3,11
41,Kochi,19698,Petrol,Manual,First,4.0,,1.53,Tata,25.4,624.0,37.5,5
42,Coimbatore,22033,Diesel,Manual,First,6.0,,5.58,Mahindra,25.32,1198.0,77.0,2
43,Kochi,35487,Petrol,Manual,First,5.0,,4.74,Hyundai,18.5,1197.0,82.9,5
44,Bangalore,46374,Petrol,Automatic,First,5.0,23.64 Lakh,8.85,Hyundai,14.62,1999.0,149.92,5
45,Mumbai,52001,Petrol,Automatic,First,5.0,,10.11,Toyota,14.28,1798.0,138.03,3
46,Ahmedabad,58005,Diesel,Manual,Second,5.0,,4.25,Hyundai,14.9,1991.0,112.2,11
47,Bangalore,70704,Petrol,Manual,First,7.0,18.64 Lakh,10.95,Toyota,11.25,2694.0,163.7,7
48,Jaipur,75000,Diesel,Manual,First,5.0,,3.85,Hyundai,24.4,1120.0,71.0,5
49,Jaipur,75800,Diesel,Manual,Second,6.0,,5.5,Mahindra,16.55,2498.0,105.0,7
50,Kochi,13648,Diesel,Automatic,First,5.0,,21.43,Audi,17.11,1968.0,174.33,4
51,Delhi,52000,Diesel,Manual,First,5.0,,4.25,Maruti,22.9,1248.0,74.0,5
52,Kolkata,53000,Diesel,Manual,First,5.0,,3.3,Maruti,17.8,1248.0,75.0,5
53,Delhi,65650,Diesel,Manual,First,5.0,,3.85,Maruti,28.4,1248.0,74.0,6
54,Chennai,54000,Petrol,Manual,Third,5.0,,3.6,Hyundai,18.9,1197.0,82.0,4
55,Kolkata,39000,Petrol,Manual,First,5.0,,3.99,Volkswagen,15.04,1598.0,103.2,4
56,Kochi,16542,Petrol,Manual,First,5.0,,3.3,Renault,25.17,799.0,53.3,2
57,Kolkata,32000,Petrol,Manual,First,5.0,,2.07,Hyundai,20.36,1197.0,78.9,9
58,Hyderabad,121812,Diesel,Automatic,First,5.0,,7.75,Nissan,13.29,1995.0,147.6,9
59,Hyderabad,39300,Petrol,Manual,First,5.0,,2.25,Maruti,18.2,998.0,67.1,9
60,Mumbai,22000,Diesel,Manual,First,8.0,19.34 Lakh,16.5,Toyota,13.68,2393.0,147.8,2
61,Bangalore,72000,Diesel,Manual,First,5.0,,2.75,Ford,20.0,1399.0,68.0,9
62,Delhi,58000,Petrol,Automatic,First,5.0,,26.7,Mercedes-Benz,11.74,1796.0,186.0,4
63,Pune,65000,Diesel,Manual,Second,5.0,,10.0,Mercedes-Benz,15.8,2148.0,170.0,8
64,Chennai,178000,Diesel,Manual,First,5.0,,2.5,Tata,25.0,1396.0,69.0,3
65,Jaipur,65664,Diesel,Automatic,First,5.0,,13.5,Audi,16.55,1968.0,140.0,7
66,Mumbai,63000,Petrol,Automatic,Second,5.0,,1.85,Honda,16.4,1497.0,78.0,12
67,Coimbatore,15369,Diesel,Automatic,First,5.0,49.14 Lakh,35.67,Mercedes-Benz,17.9,1950.0,194.0,0
68,Pune,63000,Diesel,Manual,First,7.0,,8.15,Maruti,24.52,1248.0,88.5,3
69,Mumbai,13000,Diesel,Manual,First,5.0,11.81 Lakh,10.5,Hyundai,22.1,1396.0,88.7,1
70,Mumbai,73000,Petrol,Automatic,First,5.0,,14.5,Porsche,8.5,4806.0,500.0,11
71,Mumbai,55729,Diesel,Manual,First,7.0,,9.65,Mahindra,15.1,2179.0,140.0,4
72,Kochi,45178,Petrol,Automatic,First,5.0,,3.48,Hyundai,16.95,1197.0,78.9,7
73,Kochi,56066,Diesel,Manual,First,5.0,16.65 Lakh,6.92,Nissan,19.64,1461.0,108.5,4
74,Coimbatore,37300,Petrol,Automatic,Second,5.0,,6.46,Honda,16.5,1198.0,86.8,3
75,Delhi,56000,Diesel,Automatic,Second,5.0,,29.5,Audi,18.53,1968.0,187.74,5
76,Jaipur,111111,Diesel,Manual,First,5.0,,2.0,Ford,17.8,1399.0,68.0,11
77,Chennai,230000,Petrol,Manual,Third,8.0,,4.5,Toyota,12.4,1998.0,132.0,13
78,Hyderabad,104000,Diesel,Manual,First,7.0,,11.75,Toyota,12.8,2494.0,102.0,7
79,Hyderabad,87591,Petrol,Manual,First,5.0,,1.3,Hyundai,18.9,1086.0,78.9,14
80,Jaipur,95100,Diesel,Manual,First,5.0,,3.75,Maruti,22.9,1248.0,74.0,7
81,Pune,70000,Petrol,Manual,First,5.0,6.67 Lakh,4.5,Tata,17.57,1193.0,88.7,2
82,Kochi,54944,Petrol,Manual,First,5.0,,4.82,Honda,18.0,1198.0,86.7,3
83,Hyderabad,70337,Diesel,Manual,First,5.0,,2.8,Ford,20.0,1399.0,68.0,7
84,Jaipur,99638,Diesel,Manual,First,5.0,,3.11,Maruti,23.2,1248.0,73.94,6
85,Delhi,52000,Petrol,Manual,First,5.0,,3.25,Honda,17.8,1497.0,117.3,10
86,Delhi,75000,Diesel,Automatic,Second,5.0,,13.9,BMW,16.73,1995.0,218.0,8
87,Pune,95980,Petrol,Manual,First,5.0,,2.25,Hyundai,20.36,1197.0,78.9,10
88,Bangalore,16000,Petrol,Manual,First,5.0,,5.75,Hyundai,18.9,1197.0,82.0,3
89,Hyderabad,73745,Petrol,Manual,First,5.0,,2.1,Hyundai,17.0,1086.0,78.9,12
90,Mumbai,18949,Petrol,Manual,First,5.0,,5.0,Honda,17.8,1198.0,86.7,3
91,Delhi,107000,Diesel,Manual,First,7.0,,16.5,Toyota,13.0,2982.0,168.5,5
92,Coimbatore,48367,Diesel,Automatic,First,5.0,,39.58,Audi,17.68,1968.0,174.33,1
93,Delhi,57000,Diesel,Manual,First,5.0,,5.5,Ford,22.7,1498.0,89.84,6
94,Delhi,58000,Diesel,Manual,First,7.0,,8.1,Mahindra,15.1,2179.0,140.0,5
95,Kolkata,30000,Diesel,Manual,First,5.0,,3.5,Honda,25.8,1498.0,98.6,4
96,Kolkata,34212,Diesel,Manual,First,5.0,,2.79,Volkswagen,22.07,1199.0,73.9,6
97,Ahmedabad,70002,Diesel,Manual,First,5.0,,3.45,Hyundai,16.2,1493.0,110.0,9
98,Bangalore,62000,Petrol,Manual,First,5.0,,4.45,Maruti,18.9,998.0,67.1,3
99,Delhi,62001,Petrol,Manual,First,5.0,,2.65,Volkswagen,15.26,1598.0,103.5,9
100,Pune,78958,Diesel,Manual,Second,5.0,,3.8,Hyundai,23.0,1396.0,90.0,8
101,Mumbai,30180,Petrol,Manual,First,5.0,,4.65,Hyundai,18.5,1197.0,82.85,5
102,Pune,32851,Petrol,Manual,First,7.0,6.45 Lakh,3.95,Datsun,19.83,1198.0,67.0,2
103,Kolkata,30000,Diesel,Automatic,First,5.0,,9.8,Audi,14.94,2967.0,241.4,9
104,Pune,66000,Petrol,Manual,Second,5.0,,2.7,Hyundai,17.0,1197.0,80.0,10
105,Coimbatore,93850,Petrol,Manual,First,5.0,,2.41,Maruti,14.0,796.0,35.0,9
106,Ahmedabad,53000,Petrol,Manual,First,5.0,6.41 Lakh,3.9,Toyota,17.71,1197.0,78.9,5
107,Hyderabad,78000,Diesel,Automatic,Second,5.0,,24.0,Jaguar,14.74,2993.0,270.9,8
108,Delhi,65000,Diesel,Manual,Second,7.0,,5.75,Mahindra,16.0,2179.0,140.0,7
109,Kolkata,40000,Diesel,Automatic,First,5.0,,5.25,Hyundai,22.32,1582.0,126.32,5
110,Mumbai,30000,Diesel,Automatic,First,7.0,27 Lakh,19.25,Toyota,11.36,2755.0,171.5,2
111,Coimbatore,38053,Petrol,Manual,First,5.0,5.13 Lakh,3.91,Maruti,15.1,1196.0,73.0,2
112,Bangalore,25500,Petrol,Manual,First,4.0,,2.15,Tata,25.4,624.0,37.5,5
113,Mumbai,56087,Diesel,Automatic,First,5.0,54.43 Lakh,20.75,BMW,22.69,1995.0,190.0,4
114,Delhi,71088,Petrol,Manual,First,5.0,,3.35,Honda,13.5,1799.0,130.0,9
115,Ahmedabad,55000,Diesel,Manual,First,7.0,,11.11,Toyota,12.99,2494.0,100.6,5
116,Bangalore,32700,Diesel,Automatic,First,5.0,,20.0,Volvo,23.3,1984.0,150.0,5
117,Coimbatore,39882,Petrol,Automatic,First,5.0,9.51 Lakh,6.55,Nissan,19.15,1198.0,75.94,3
118,Mumbai,128000,Petrol,Automatic,First,5.0,,7.0,BMW,10.8,2497.0,215.0,10
119,Mumbai,55000,Diesel,Manual,First,5.0,9.96 Lakh,7.5,Maruti,24.3,1248.0,88.5,3
120,Mumbai,102000,Petrol,Manual,Second,5.0,,0.85,Hyundai,17.0,1086.0,78.9,14
121,Pune,53753,Diesel,Automatic,Second,5.0,,16.75,Mercedes-Benz,15.0,2143.0,107.3,5
122,Kolkata,10250,Diesel,Manual,First,5.0,14.44 Lakh,10.95,Hyundai,22.0,1582.0,126.2,1
123,Pune,43874,Petrol,Manual,First,5.0,,2.45,Maruti,18.9,998.0,67.1,8
124,Coimbatore,32684,Petrol,Automatic,First,4.0,,3.23,Tata,21.9,624.0,37.48,2
125,Kolkata,42000,Diesel,Manual,First,8.0,,7.75,Mahindra,12.05,2179.0,120.0,5
126,Kolkata,28352,Petrol,Automatic,First,5.0,,9.35,Mercedes-Benz,11.7,1796.0,178.0,10
127,Pune,89900,CNG,Manual,First,5.0,,3.25,Maruti,26.6,998.0,58.16,6
128,Bangalore,47700,Petrol,Manual,Second,5.0,,5.25,Honda,10.8,2354.0,152.0,12
129,Pune,55000,Diesel,Automatic,First,5.0,,7.25,Volkswagen,21.21,1498.0,103.2,4
130,Kochi,44285,Petrol,Manual,First,5.0,,7.47,Maruti,20.73,1373.0,91.1,2
131,Jaipur,54000,Diesel,Automatic,First,7.0,,13.25,Mahindra,16.0,2179.0,140.0,3
132,Coimbatore,30232,Petrol,Manual,First,5.0,,5.81,Maruti,21.1,1197.0,85.8,3
133,Hyderabad,88500,Petrol,Manual,First,5.0,4.53 Lakh,2.6,Maruti,24.07,998.0,67.1,5
134,Kolkata,13372,Petrol,Automatic,First,2.0,95.04 Lakh,54.0,Mercedes-Benz,19.0,2996.0,362.07,2
135,Kochi,12645,Petrol,Automatic,First,5.0,13.49 Lakh,11.5,Hyundai,17.0,1591.0,121.3,0
136,Chennai,94385,Petrol,Manual,Second,5.0,,1.6,Maruti,19.7,796.0,46.3,9
137,Coimbatore,31821,Diesel,Automatic,First,5.0,,17.22,BMW,20.58,1995.0,143.0,4
138,Mumbai,12000,Petrol,Automatic,First,5.0,,6.0,Honda,19.0,1199.0,88.7,4
139,Delhi,88578,Petrol,Manual,First,5.0,,3.95,Honda,13.5,1799.0,130.0,7
140,Kochi,44965,Diesel,Automatic,First,5.0,,17.95,Mercedes-Benz,19.27,2143.0,170.0,5
141,Kolkata,45044,Diesel,Manual,First,5.0,,3.7,Honda,25.8,1498.0,98.6,5
142,Kochi,34204,Petrol,Manual,First,5.0,,5.43,Maruti,22.0,1197.0,81.8,3
143,Kochi,80759,Petrol,Manual,Third,5.0,,1.67,Hyundai,17.0,1086.0,78.9,11
144,Coimbatore,91235,Diesel,Manual,First,7.0,,13.49,Toyota,11.5,2982.0,171.0,7
145,Pune,38800,Petrol,Manual,First,5.0,,2.85,Chevrolet,18.6,1199.0,76.8,5
146,Chennai,83000,Diesel,Manual,First,5.0,,4.75,Skoda,21.14,1498.0,103.52,6
147,Kochi,41283,Petrol,Manual,First,5.0,,9.9,Maruti,20.73,1373.0,91.1,1
148,Mumbai,23000,Petrol,Automatic,First,4.0,1.28 Cr,37.0,Audi,11.05,2894.0,444.0,6
149,Mumbai,48000,Diesel,Automatic,First,5.0,60.88 Lakh,26.5,BMW,21.76,1995.0,190.0,5
150,Coimbatore,48214,Diesel,Automatic,First,5.0,,23.32,Audi,17.11,1968.0,174.33,4
151,Chennai,35000,Diesel,Manual,First,5.0,,6.25,Maruti,22.9,1248.0,74.0,3
152,Kolkata,35277,Petrol,Automatic,First,5.0,,30.0,Mercedes-Benz,7.81,5461.0,362.9,9
153,Coimbatore,54620,Diesel,Automatic,First,5.0,,9.86,Skoda,21.66,1498.0,103.52,3
154,Pune,136997,Diesel,Automatic,First,5.0,,8.5,Skoda,17.2,1968.0,138.1,7
155,Kochi,14322,Petrol,Manual,First,5.0,,4.23,Hyundai,21.1,814.0,55.2,0
156,Jaipur,65634,Diesel,Manual,First,5.0,,3.5,Volkswagen,22.07,1199.0,73.9,7
157,Kolkata,6000,Petrol,Manual,First,5.0,,2.5,Datsun,20.63,1198.0,67.06,3
158,Kolkata,33280,Petrol,Manual,First,5.0,,2.39,Honda,19.4,1198.0,86.8,6
159,Delhi,29000,Petrol,Automatic,First,5.0,,11.25,Mercedes-Benz,14.8,1595.0,120.7,6
160,Kochi,42831,Diesel,Manual,First,5.0,,7.11,Honda,26.0,1498.0,98.6,4
161,Ahmedabad,90000,Diesel,Manual,First,7.0,,10.9,Toyota,12.99,2494.0,100.6,3
162,Ahmedabad,24005,Petrol,Manual,First,5.0,,6.2,Maruti,20.4,1197.0,81.8,2
163,Mumbai,32792,Diesel,Manual,First,7.0,,7.9,Mahindra,15.1,2179.0,140.0,7
164,Kochi,147898,Diesel,Manual,First,5.0,,4.42,Ford,22.7,1498.0,89.84,5
165,Mumbai,131765,Diesel,Manual,First,7.0,,13.5,Toyota,13.0,2982.0,168.5,7
166,Chennai,65000,Diesel,Automatic,First,5.0,,6.25,Volkswagen,21.5,1498.0,108.5,6
167,Jaipur,66123,Diesel,Manual,Second,5.0,,2.1,Ford,20.0,1399.0,68.0,9
168,Mumbai,41000,Diesel,Automatic,First,5.0,,45.0,BMW,15.3,2993.0,258.0,4
169,Coimbatore,23550,Diesel,Automatic,First,5.0,,33.66,Mercedes-Benz,19.27,2143.0,167.62,2
170,Bangalore,45000,Petrol,Manual,Second,5.0,,3.65,Honda,19.4,1198.0,86.8,7
171,Delhi,60000,Petrol,Manual,First,5.0,,2.75,Hyundai,20.36,1197.0,78.9,6
172,Bangalore,44414,Diesel,Automatic,First,5.0,,42.5,Mercedes-Benz,17.9,2143.0,170.0,3
173,Kolkata,1000,Petrol,Manual,First,5.0,7.39 Lakh,6.5,Hyundai,18.9,1197.0,81.86,0
174,Mumbai,62500,Diesel,Automatic,Second,5.0,,19.0,Audi,17.68,1968.0,174.33,7
175,Mumbai,21000,Petrol,Automatic,Second,5.0,,4.45,Volkswagen,14.4,1598.0,103.6,6
176,Jaipur,8525,Diesel,Automatic,Second,5.0,,23.0,Mini,16.6,1998.0,112.0,2
177,Bangalore,29000,Diesel,Manual,First,5.0,,8.35,Hyundai,22.54,1396.0,88.73,5
178,Mumbai,40000,Diesel,Automatic,First,5.0,,22.95,Audi,17.68,1968.0,174.33,5
179,Jaipur,88000,Diesel,Manual,First,5.0,,1.5,Chevrolet,25.44,936.0,57.6,7
180,Kochi,53537,Petrol,Automatic,First,5.0,,6.89,Skoda,13.7,1798.0,157.75,7
181,Chennai,216000,Diesel,Manual,Second,5.0,,1.45,Ford,17.8,1399.0,68.0,13
182,Hyderabad,51000,Diesel,Automatic,First,5.0,69.47 Lakh,33.5,BMW,22.48,1995.0,190.0,5
183,Jaipur,118500,Petrol,Manual,First,5.0,,1.25,Chevrolet,12.9,1598.0,102.5,12
184,Hyderabad,63000,Diesel,Manual,First,5.0,,4.2,Volkswagen,22.07,1199.0,73.9,7
185,Mumbai,25000,Diesel,Manual,First,8.0,,6.75,Renault,19.98,1461.0,108.5,4
186,Bangalore,37382,Diesel,Automatic,First,5.0,,32.0,Mercedes-Benz,13.0,2143.0,201.1,5
187,Kochi,24773,Petrol,Manual,First,5.0,8.78 Lakh,7.5,Maruti,21.4,1197.0,83.1,2
188,Delhi,62000,Diesel,Manual,First,5.0,,4.6,Hyundai,22.32,1582.0,126.32,7
189,Kochi,52340,Petrol,Manual,First,5.0,,4.04,Hyundai,19.81,1086.0,68.05,2
190,Kochi,56739,Diesel,Manual,First,7.0,,10.31,Mahindra,15.4,1997.0,120.0,3
191,Coimbatore,36091,Diesel,Automatic,First,5.0,,55.76,Land,12.7,2179.0,187.7,1
192,Chennai,120000,Diesel,Manual,First,5.0,,2.6,Ford,20.0,1399.0,68.0,9
193,Mumbai,33000,Diesel,Manual,First,7.0,12.74 Lakh,8.5,Maruti,25.47,1248.0,88.5,3
194,Ahmedabad,60006,Petrol,Manual,First,5.0,,2.95,Honda,17.0,1497.0,98.6,12
195,Kolkata,52000,Diesel,Manual,First,5.0,,3.5,Honda,25.8,1498.0,98.6,5
196,Jaipur,43571,Petrol,Manual,First,5.0,,3.55,Hyundai,20.36,1197.0,78.9,4
197,Kolkata,50000,Diesel,Manual,First,5.0,,3.25,Honda,25.8,1498.0,98.6,6
198,Hyderabad,113000,Diesel,Manual,First,5.0,,4.5,Skoda,17.5,1896.0,106.0,11
199,Delhi,90000,Diesel,Manual,First,5.0,,5.35,Renault,19.87,1461.0,83.8,5
200,Chennai,29000,Diesel,Manual,Second,7.0,10.52 Lakh,6.5,Mahindra,17.45,1493.0,100.0,2
201,Mumbai,20000,Diesel,Manual,First,5.0,11.98 Lakh,9.0,Maruti,24.3,1248.0,88.5,3
202,Kochi,61012,Petrol,Manual,First,5.0,,6.0,Hyundai,18.6,1197.0,81.83,3
203,Jaipur,87459,Petrol,Manual,First,5.0,,2.75,Skoda,14.7,1390.0,85.0,10
204,Pune,70500,Petrol,Manual,First,5.0,,1.5,Tata,15.64,1193.0,64.1,9
205,Delhi,64103,Diesel,Automatic,First,5.0,,19.9,Audi,15.73,1968.0,174.33,4
206,Mumbai,76000,Petrol,Automatic,First,5.0,,10.0,Skoda,14.7,1798.0,177.5,5
207,Delhi,104000,Diesel,Manual,First,5.0,,3.0,Toyota,23.59,1364.0,67.06,5
208,Kolkata,42001,Petrol,Manual,First,5.0,,2.11,Maruti,16.1,1248.0,74.0,9
209,Kochi,37245,Petrol,Automatic,First,5.0,,11.96,Mercedes-Benz,14.8,1595.0,120.7,5
210,Kolkata,45000,Diesel,Manual,First,5.0,8.54 Lakh,3.25,Honda,27.4,1498.0,98.6,6
211,Jaipur,117837,Diesel,Manual,Second,5.0,,4.75,Hyundai,22.32,1582.0,126.32,7
212,Mumbai,30000,Diesel,Manual,First,5.0,,5.95,Renault,20.46,1461.0,83.8,5
213,Delhi,27057,Petrol,Manual,Second,5.0,,8.15,Hyundai,15.29,1591.0,121.3,4
214,Mumbai,8500,Petrol,Automatic,First,5.0,,4.22,Maruti,20.51,998.0,67.0,3
215,Kolkata,30500,Petrol,Automatic,First,5.0,,10.5,Mercedes-Benz,11.74,1796.0,186.0,9
216,Delhi,56000,Diesel,Automatic,First,5.0,,45.0,Audi,11.8,2967.0,246.7,7
217,Pune,44000,Petrol,Manual,Second,5.0,,2.9,Hyundai,19.81,1086.0,68.05,7
218,Mumbai,10500,Petrol,Automatic,First,5.0,,8.9,Skoda,14.3,1598.0,103.52,2
219,Hyderabad,26000,Petrol,Automatic,First,5.0,33.58 Lakh,26.0,Skoda,14.67,1798.0,177.46,2
220,Coimbatore,25166,Petrol,Manual,First,5.0,,8.22,Hyundai,17.19,1197.0,81.86,1
221,Kolkata,64000,Diesel,Manual,Second,5.0,,3.5,Honda,25.8,1498.0,98.6,5
222,Chennai,61000,Petrol,Manual,Second,5.0,,1.25,Maruti,18.9,998.0,67.1,15
223,Hyderabad,107000,Diesel,Manual,First,5.0,9.12 Lakh,3.7,Mahindra,21.03,1461.0,65.0,6
224,Coimbatore,29161,Diesel,Automatic,First,5.0,,39.41,Mercedes-Benz,19.27,2143.0,167.62,1
225,Kolkata,32000,Petrol,Manual,First,5.0,5.29 Lakh,2.65,Maruti,22.5,998.0,67.04,6
226,Coimbatore,46173,Diesel,Manual,Second,5.0,,8.92,Nissan,19.01,1461.0,108.5,4
227,Delhi,47000,Diesel,Manual,First,5.0,,4.1,Maruti,17.8,1248.0,74.0,6
228,Kochi,26327,Petrol,Automatic,First,4.0,44.28 Lakh,35.67,Mini,16.82,1998.0,189.08,2
229,Bangalore,70436,Diesel,Manual,First,5.0,,3.6,Ford,20.0,1498.0,99.0,4
230,Jaipur,200000,Diesel,Manual,Second,5.0,,0.85,Tata,17.2,1396.0,53.5,12
231,Kochi,60813,Petrol,Manual,Second,5.0,,3.32,Chevrolet,18.6,1199.0,76.8,3
232,Mumbai,45000,Diesel,Manual,First,5.0,,3.6,Volkswagen,22.07,1199.0,73.9,7
233,Hyderabad,64000,Diesel,Manual,First,5.0,,6.8,Maruti,22.9,1248.0,74.0,3
234,Kolkata,41284,Diesel,Manual,First,5.0,,2.5,Ford,20.0,1399.0,68.05,7
235,Kochi,14165,Diesel,Automatic,First,7.0,20.74 Lakh,19.64,Toyota,11.36,2755.0,171.5,0
236,Mumbai,67000,Diesel,Automatic,Second,7.0,,7.0,Hyundai,11.72,2199.0,194.3,8
237,Kolkata,32572,Petrol,Manual,First,5.0,11.74 Lakh,3.87,Honda,17.4,1497.0,117.3,8
238,Kochi,14960,Petrol,Manual,First,5.0,,6.27,Hyundai,18.6,1197.0,81.83,1
239,Kochi,55980,Diesel,Automatic,First,5.0,,18.12,Mercedes-Benz,19.27,2143.0,167.62,4
240,Mumbai,74000,Diesel,Manual,First,5.0,,2.65,Chevrolet,25.44,936.0,57.6,6
241,Kochi,56847,Diesel,Manual,First,5.0,,7.2,Hyundai,22.54,1396.0,88.73,4
242,Coimbatore,121374,Diesel,Manual,First,7.0,,14.3,Toyota,12.99,2494.0,100.6,4
243,Chennai,52000,Diesel,Manual,First,7.0,,6.9,Maruti,20.77,1248.0,88.76,6
244,Mumbai,118000,Diesel,Manual,First,7.0,,10.75,Toyota,12.8,2494.0,102.0,5
245,Mumbai,72000,Petrol,Manual,Third,5.0,,0.95,Hyundai,17.0,1086.0,78.9,12
246,Kochi,33915,Petrol,Manual,First,5.0,,8.09,Honda,17.8,1497.0,117.3,3
247,Ahmedabad,82002,Diesel,Automatic,First,5.0,,18.5,BMW,17.05,1995.0,184.0,5
248,Mumbai,33000,Diesel,Manual,First,5.0,,4.75,Hyundai,24.0,1120.0,70.0,2
249,Chennai,34000,Diesel,Manual,First,5.0,,8.45,Maruti,28.09,1248.0,88.5,3
250,Kolkata,55000,Diesel,Manual,First,5.0,,3.5,Skoda,20.5,1598.0,103.6,7
251,Kochi,160538,Diesel,Manual,First,5.0,,1.8,Hyundai,13.1,1493.0,82.0,13
252,Jaipur,60000,Diesel,Manual,Second,5.0,,3.7,Volkswagen,19.91,1498.0,103.6,5
253,Coimbatore,49575,Petrol,Manual,First,5.0,,7.17,Honda,18.7,1199.0,88.7,2
254,Jaipur,83000,Petrol,Manual,First,5.0,,1.75,Hyundai,19.81,1086.0,68.05,9
255,Kochi,51346,Diesel,Automatic,First,5.0,,21.99,Hyundai,16.38,1995.0,183.0,1
256,Pune,43000,Diesel,Manual,First,7.0,25.52 Lakh,18.65,Toyota,13.68,2393.0,147.8,2
257,Jaipur,35000,Petrol,Manual,Third,5.0,,1.85,Maruti,19.7,796.0,35.0,8
258,Coimbatore,27872,Petrol,Manual,Second,5.0,,5.95,Maruti,20.4,1197.0,81.8,2
259,Mumbai,16514,Petrol,Manual,First,5.0,,3.75,Hyundai,18.9,1197.0,82.0,5
260,Pune,120000,Diesel,Manual,First,5.0,,3.75,Maruti,22.9,1248.0,74.0,7
